Team,Pl,P,W,D,L,GS,GD,xGS,xGD,Cr,Comp_Cr,Press,Succ_Press,High_Press
Atlanta 2019,34,58,18,4,12,58,15,57.4,14.8,577,61,4786,1396,1045
Chicago 2019,34,42,10,12,12,55,8,53.4,7.9,569,73,4899,1298,1084
Colorado 2019,34,42,12,6,16,58,-5,51.1,-5.6,644,72,5652,1339,1086
Columbus 2019,34,38,10,8,16,39,-8,38.1,-5.1,568,67,4952,1287,1038
D.C. United 2019,34,50,13,11,10,42,4,39.2,-9.1,527,65,5187,1370,927
FC Cincinnati 2019,34,24,6,6,22,31,-44,33.6,-25.6,446,56,5354,1359,1113
FC Dallas 2019,34,48,13,9,12,54,8,49.5,5.5,491,71,5489,1337,1226
Houston 2019,34,40,12,4,18,49,-10,47.8,-3.4,537,70,5192,1302,1091
LA Galaxy 2019,34,51,16,3,15,58,-1,56.3,-6.5,722,128,5297,1263,1040
Los Angeles FC 2019,34,72,21,9,4,85,48,77.6,40.5,435,44,5916,1808,1585
Minnesota 2019,34,53,15,8,11,52,9,53.4,8.7,639,81,5412,1386,1032
Montreal 2019,34,41,12,5,17,47,-13,38.9,-11.8,534,54,5570,1462,1106
New England 2019,34,45,11,12,11,50,-7,44.6,-9.4,542,77,5677,1514,1236
NY Red Bulls 2019,34,48,14,6,14,53,2,50.5,-0.4,614,74,6422,1953,1539
NYCFC 2019,34,64,18,10,6,63,21,53.6,7.9,481,82,5195,1495,1118
Orlando City 2019,34,37,9,10,15,44,-8,43.8,0.4,514,51,5161,1323,1119
Philadelphia 2019,34,55,16,7,11,58,8,55.1,12.6,556,84,5499,1531,1329
Portland 2019,34,49,14,7,13,52,3,52.3,-3.3,753,106,5182,1387,1207
Real Salt Lake 2019,34,53,16,5,13,46,5,37.1,-4.4,441,62,5363,1284,1077
San Jose 2019,34,44,13,5,16,52,-3,53.0,6.1,593,78,4951,1452,953
Seattle 2019,34,56,16,8,10,52,3,49.7,3.2,607,83,5200,1355,1031
Sporting KC 2019,34,38,10,8,16,49,-18,58.0,5.0,541,69,5501,1348,1440
Toronto FC 2019,34,50,13,11,10,57,5,47.6,-2.4,545,82,4850,1258,1101
Vancouver 2019,34,34,8,10,16,37,-22,34.5,-25.6,470,53,5066,1134,937
Atlanta 2018,34,69,21,6,6,70,26,69.5,31.0,607,87,3576,972,705
Chicago 2018,34,32,8,8,18,48,-13,39.1,-20.2,511,54,5854,1368,1000
Colorado 2018,34,31,8,7,18,36,-27,35.4,-23.2,498,53,5949,1248,1227
Columbus 2018,34,51,14,9,11,43,-2,47.3,9.6,693,79,4880,1305,1125
D.C. United 2018,34,51,14,9,11,60,10,46.4,-0.9,459,51,5099,1222,1054
FC Dallas 2018,34,57,16,9,9,52,8,49.9,10.2,511,68,5114,1206,1080
Houston 2018,34,38,10,8,16,58,0,51.8,1.6,582,68,5027,1231,1091
LA Galaxy 2018,34,48,13,9,12,66,2,48.5,-5.2,638,86,5476,1336,1077
Los Angeles FC 2018,34,57,16,9,9,68,16,57.5,11.8,495,53,4245,1109,998
Minnesota 2018,34,36,11,3,20,49,-22,41.6,-11.9,546,67,6246,1586,1117
Montreal 2018,34,46,14,4,16,47,-6,42.8,-6.7,491,58,5702,1485,1011
New England 2018,34,41,10,11,13,49,-6,41.6,-7.8,667,86,5640,1497,1487
NY Red Bulls 2018,34,71,22,5,7,62,29,60.6,19.2,590,64,5950,1796,1436
NYCFC 2018,34,56,16,8,10,59,14,54.9,15.1,578,71,5000,1457,1194
Orlando City 2018,34,28,8,4,22,43,-31,43.6,-18.5,557,60,5053,1350,1015
Philadelphia 2018,34,50,15,5,14,49,-1,53.0,4.1,544,64,4710,1187,1163
Portland 2018,34,54,15,9,10,54,6,49.0,5.4,527,72,5388,1332,978
Real Salt Lake 2018,34,49,14,7,13,55,-3,47.3,-5.5,444,55,5085,1260,1185
San Jose 2018,34,21,4,9,21,49,-22,40.7,-19.5,614,67,5370,1263,987
Seattle 2018,34,59,18,5,11,52,15,45.3,1.3,628,72,5478,1374,1064
Sporting KC 2018,34,62,18,8,8,65,25,56.3,13.3,598,76,4838,1287,1281
Toronto FC 2018,34,36,10,6,18,59,-5,57.4,4.1,539,55,5512,1520,1238
Vancouver 2018,34,47,13,8,13,54,-13,49.0,-7.5,657,85,5879,1326,978
